"unitid","institution name","year","C2010_A.First or Second Major","C2010_A.CIP Code -  2010 Classification","CipTitle","C2010_A.Award Level code","C2010_A_RV.Grand total","IDX_C"
"108232","Academy of Art University","2010","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","8","-2"
"108232","Academy of Art University","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","52","-2"
"108232","Academy of Art University","2010","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","37","-2"
"108250","ITT Technical Institute-Rancho Cordova","2010","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","51","-2"
"108250","ITT Technical Institute-Rancho Cordova","2010","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","12","-2"
"108250","ITT Technical Institute-Rancho Cordova","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","84","-2"
"108250","ITT Technical Institute-Rancho Cordova","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","5","-2"
"108667","College of Alameda","2010","First major","'11'","Computer and Information Sciences and Support Services","Award of less than 1 academic year","9","-2"
"108667","College of Alameda","2010","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","4","-2"
"108667","College of Alameda","2010","First major","'27'","Mathematics and Statistics","Award of less than 1 academic year","0","-2"
"108667","College of Alameda","2010","First major","'27'","Mathematics and Statistics","Associate's degree","1","-2"
"108807","Allan Hancock College","2010","First major","'11'","Computer and Information Sciences and Support Services","Award of less than 1 academic year","0","-2"
"108807","Allan Hancock College","2010","First major","'11'","Computer and Information Sciences and Support Services","Award of at least 1 but less than 2 academic years","0","-2"
"108807","Allan Hancock College","2010","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","9","-2"
"108807","Allan Hancock College","2010","First major","'14'","Engineering","Award of at least 1 but less than 2 academic years","0","-2"
"108807","Allan Hancock College","2010","First major","'14'","Engineering","Associate's degree","8","-2"
"108807","Allan Hancock College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Award of less than 1 academic year","0","-2"
"108807","Allan Hancock College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Award of at least 1 but less than 2 academic years","0","-2"
"108807","Allan Hancock College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","6","-2"
"108807","Allan Hancock College","2010","First major","'27'","Mathematics and Statistics","Award of less than 1 academic year","0","-2"
"108807","Allan Hancock College","2010","First major","'27'","Mathematics and Statistics","Award of at least 1 but less than 2 academic years","0","-2"
"108807","Allan Hancock College","2010","First major","'27'","Mathematics and Statistics","Associate's degree","13","-2"
"108807","Allan Hancock College","2010","First major","'40'","Physical Sciences","Award of at least 1 but less than 2 academic years","0","-2"
"108807","Allan Hancock College","2010","First major","'40'","Physical Sciences","Associate's degree","13","-2"
"109208","American River College","2010","First major","'11'","Computer and Information Sciences and Support Services","Award of less than 1 academic year","20","-2"
"109208","American River College","2010","First major","'11'","Computer and Information Sciences and Support Services","Award of at least 1 but less than 2 academic years","5","-2"
"109208","American River College","2010","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","39","-2"
"109208","American River College","2010","First major","'14'","Engineering","Award of less than 1 academic year","1","-2"
"109208","American River College","2010","First major","'14'","Engineering","Associate's degree","0","-2"
"109208","American River College","2010","First major","'14'","Engineering","Award of at least 2 but less than 4 academic years","0","-2"
"109208","American River College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Award of at least 1 but less than 2 academic years","8","-2"
"109208","American River College","2010","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","8","-2"
"109208","American River College","2010","First major","'27'","Mathematics and Statistics","Award of less than 1 academic year","0","-2"
"109208","American River College","2010","First major","'27'","Mathematics and Statistics","Associate's degree","12","-2"
"109208","American River College","2010","First major","'40'","Physical Sciences","Award of less than 1 academic year","0","-2"
"109208","American River College","2010","First major","'40'","Physical Sciences","Associate's degree","82","-2"
